# BEAST v1.10.5 Prerelease #23570d1																			
# Generated Fri Jun 30 14:21:54 CEST 2023 [seed=1688127711194]																			
# -beagle_gpu -beagle_order 1 -overwrite -load_state checkpoint.state -save_every 10000 -save_state resumed.state -force_resume b.1.1.7.xml																			
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.doublingTime	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
23500000	-54427.68143	-2457.345509	-51970.33592	0.30820443	2020.689063	61.51070841	1305.104428	0.018572137	9.402405035	0.29122617	0.183584605	0.190215114	0.334974112	0.096345408	6.11E-04	6.11E-04	-51970.33592	0	-2447.44991
24000000	-54458.74154	-2512.394844	-51946.3467	0.295330635	2020.701937	62.92193392	1226.548647	0.019049652	8.34686805	0.29367054	0.181749198	0.192750334	0.331829928	0.046989835	5.39E-04	5.39E-04	-51946.3467	0	-2502.925427
24500000	-54522.29326	-2543.31245	-51978.98081	0.299237741	2020.69803	62.94234734	926.5130092	0.020160275	8.121500311	0.296728629	0.178748765	0.188504786	0.336017819	0.074282182	5.65E-04	5.65E-04	-51978.98081	0	-2534.048109
25000000	-54538.17203	-2559.181476	-51978.99055	0.324285139	2020.672983	63.42247211	1036.950482	0.019648068	7.288248435	0.294582136	0.178154458	0.191852227	0.33541118	0.101868334	5.66E-04	5.66E-04	-51978.99055	0	-2549.951701
25500000	-54520.96434	-2599.689616	-51921.27472	0.331849095	2020.665419	62.56911899	459.085796	0.023568777	7.535997228	0.296747235	0.179841489	0.193736234	0.329675042	0.037990157	5.47E-04	5.47E-04	-51921.27472	0	-2591.215223
26000000	-54510.93434	-2564.59318	-51946.34116	0.320344888	2020.676923	64.99758296	1609.466688	0.018437027	6.954623443	0.292803192	0.180861159	0.194374462	0.331961188	0.042834318	5.11E-04	5.11E-04	-51946.34116	0	-2555.224395
26500000	-54522.36516	-2588.323644	-51934.04151	0.32644241	2020.670825	64.24984092	1053.3425	0.019910852	8.72954187	0.29402766	0.176735979	0.197571123	0.331665238	0.076248394	5.14E-04	5.14E-04	-51934.04151	0	-2578.868794
27000000	-54519.38912	-2551.971245	-51967.41787	0.356457711	2020.64081	61.52739062	628.2889165	0.021595382	7.338085852	0.291858629	0.183159204	0.190725667	0.334256501	0.006858204	5.53E-04	5.53E-04	-51967.41787	0	-2543.349171
27500000	-54492.19934	-2541.728378	-51950.47096	0.307255073	2020.690013	65.22229667	1789.757817	0.01816519	7.683008417	0.294984259	0.175578325	0.192419584	0.337017832	0.087894698	4.86E-04	4.86E-04	-51950.47096	0	-2532.038574
28000000	-54460.47295	-2514.694834	-51945.77811	0.305616699	2020.691651	61.63650017	881.7217115	0.019771198	7.569267561	0.297976195	0.178500428	0.186193505	0.337329872	0.062351928	5.62E-04	5.62E-04	-51945.77811	0	-2505.637043
28500000	-54556.51676	-2611.799749	-51944.71701	0.322929057	2020.674339	64.47199216	741.4750939	0.021631386	8.198576108	0.294088815	0.177712482	0.192651536	0.335547168	0.008846659	5.50E-04	5.50E-04	-51944.71701	0	-2602.838393
29000000	-54620.05735	-2662.347883	-51957.70946	0.32082181	2020.676446	66.54628657	1035.252485	0.020732738	7.482330434	0.291521055	0.182905861	0.191179399	0.334393686	0.007316303	5.19E-04	5.19E-04	-51957.70946	0	-2653.281248
29500000	-54516.77357	-2559.448428	-51957.32514	0.318447499	2020.67882	63.23340098	853.7274589	0.02057806	8.467086394	0.293717699	0.178822152	0.188744652	0.338715497	0.099969731	5.31E-04	5.31E-04	-51957.32514	0	-2550.161351
30000000	-54501.05912	-2543.022907	-51958.03621	0.320575406	2020.676692	63.03783464	964.8363549	0.020150261	7.018974223	0.294813349	0.178032191	0.194135978	0.333018482	0.036636565	5.57E-04	5.57E-04	-51958.03621	0	-2534.041333
30500000	-54503.01397	-2555.039125	-51947.97485	0.303785103	2020.693483	63.60239501	808.4149706	0.02081741	7.214773516	0.293622542	0.181136979	0.188495867	0.336744612	0.106539739	5.55E-04	5.55E-04	-51947.97485	0	-2546.03176
31000000	-54554.78978	-2597.707098	-51957.08268	0.337335895	2020.659932	64.90099376	738.2345195	0.021430111	8.16350321	0.292654768	0.182362253	0.185931775	0.339051204	0.028343259	5.06E-04	5.06E-04	-51957.08268	0	-2588.775297
31500000	-54454.68905	-2483.738377	-51970.95068	0.311102245	2020.686166	61.53679216	1070.313632	0.019018334	8.263358061	0.295579231	0.179624671	0.191188184	0.333607914	0.075350039	5.50E-04	5.50E-04	-51970.95068	0	-2474.353147
32000000	-54515.79371	-2536.970068	-51978.82364	0.311331812	2020.685936	62.72245957	1047.005429	0.019480168	8.098849285	0.289735264	0.178262871	0.197990381	0.334011484	0.011423674	5.32E-04	5.32E-04	-51978.82364	0	-2527.772648
32500000	-54519.58757	-2556.548769	-51963.0388	0.305207391	2020.69206	63.43334031	911.8050341	0.020278834	7.6296977	0.291861486	0.180897932	0.19416993	0.333070652	0.035896981	5.15E-04	5.15E-04	-51963.0388	0	-2547.52973
33000000	-54467.3211	-2482.225458	-51985.09564	0.324884592	2020.672383	61.33397976	869.3157196	0.019848825	8.113245083	0.297280444	0.179767154	0.191479681	0.331472721	0.064355744	5.77E-04	5.77E-04	-51985.09564	0	-2473.041292
