# BEAST v${version}${extra_release_tag}
# Generated Thu Jul 30 22:17:20 CEST 2026 [seed=1785442627552]
# -beagle_gpu -beagle_order 1 -overwrite EBOV_DRC_18-20.xml
state	HZ.coefficients1	HZ.coefficients2	HZ.coefficients3	HZ.coefIndicators1	HZ.coefIndicators2	HZ.coefIndicators3	HZ.coefficientsTimesIndicators1	HZ.coefficientsTimesIndicators2	HZ.coefficientsTimesIndicators3
5450000	0.07647234550685338	0.25377944141556147	-1.2147415604503093	0.0	1.0	1.0	0.0	0.25377944141556147	-1.2147415604503093
5500000	3.9897227039488823	0.43208364354118245	-0.9010045374442417	0.0	1.0	1.0	0.0	0.43208364354118245	-0.9010045374442417
5550000	-1.0599408632992886	0.7801511233362447	-1.0604716289897815	0.0	1.0	1.0	-0.0	0.7801511233362447	-1.0604716289897815
5600000	-1.3485194911522662	0.4750878981042687	-0.8336933918820638	0.0	1.0	1.0	-0.0	0.4750878981042687	-0.8336933918820638
5650000	1.8037054318387749	0.36199740138097297	-0.919368586234764	0.0	1.0	1.0	0.0	0.36199740138097297	-0.919368586234764
5700000	-0.6239123897654597	0.38403646130465036	-0.9088440704080972	0.0	1.0	1.0	-0.0	0.38403646130465036	-0.9088440704080972
5750000	-0.054211124682732446	0.5117674461925426	-1.133026183834712	0.0	1.0	1.0	-0.0	0.5117674461925426	-1.133026183834712
5800000	0.4576603995455673	0.3386640209307361	-1.1785715180556409	0.0	1.0	1.0	0.0	0.3386640209307361	-1.1785715180556409
5850000	1.2848712718864768	0.4455197178305112	-1.0418478301816891	0.0	1.0	1.0	0.0	0.4455197178305112	-1.0418478301816891
5900000	2.5185184862205174	0.4419395108795673	-1.1236012345858475	0.0	1.0	1.0	0.0	0.4419395108795673	-1.1236012345858475
5950000	1.8874370639916522	0.5330340884640772	-1.1935005207543559	0.0	1.0	1.0	0.0	0.5330340884640772	-1.1935005207543559
6000000	-3.3005055366850797	0.23893314810801397	-1.0771763680871764	0.0	1.0	1.0	-0.0	0.23893314810801397	-1.0771763680871764
6050000	0.010850653637330288	0.3720838364642417	-1.1983256172794206	0.0	1.0	1.0	0.0	0.3720838364642417	-1.1983256172794206
6100000	1.5608765843768386	0.30944617467672525	-1.1483106837009762	0.0	1.0	1.0	0.0	0.30944617467672525	-1.1483106837009762
6150000	-1.9510769526083267	0.5530917763925353	-1.034180046052933	0.0	1.0	1.0	-0.0	0.5530917763925353	-1.034180046052933
6200000	-2.0436625672091915	0.5243893517198014	-1.1790478087076712	0.0	1.0	1.0	-0.0	0.5243893517198014	-1.1790478087076712
6250000	-1.3784276450750113	0.4553749769417112	-1.180192574078018	0.0	1.0	1.0	-0.0	0.4553749769417112	-1.180192574078018
6300000	-2.5611504041433295	0.3363084268392326	-1.1681489979546613	0.0	1.0	1.0	-0.0	0.3363084268392326	-1.1681489979546613
6350000	1.101388801026185	0.39821050261666024	-1.087797905642674	0.0	1.0	1.0	0.0	0.39821050261666024	-1.087797905642674
6400000	0.9407564883577453	0.39472883428594435	-1.1253293955663248	0.0	1.0	1.0	0.0	0.39472883428594435	-1.1253293955663248
6450000	-0.11928946817467123	0.3971909573034454	-1.1252105548211722	0.0	1.0	1.0	-0.0	0.3971909573034454	-1.1252105548211722
6500000	3.5106339856309665	0.5260742651230463	-1.074322889700575	0.0	1.0	1.0	0.0	0.5260742651230463	-1.074322889700575
6550000	0.1749141780115711	0.31377311428901056	-0.9420009448472645	1.0	1.0	1.0	0.1749141780115711	0.31377311428901056	-0.9420009448472645
6600000	-0.1719137887815294	0.4702332507840717	-1.0494158511483989	0.0	1.0	1.0	-0.0	0.4702332507840717	-1.0494158511483989
6650000	0.298282547909762	0.13760579543339335	-1.061134091213462	1.0	1.0	1.0	0.298282547909762	0.13760579543339335	-1.061134091213462
6700000	-1.2892609145818779	0.3062830721330174	-1.1624945004181333	0.0	1.0	1.0	-0.0	0.3062830721330174	-1.1624945004181333
6750000	0.13459676451654531	0.4611562618473575	-1.1562284691145714	0.0	0.0	1.0	0.0	0.0	-1.1562284691145714
6800000	1.0418759730267622	0.33356304084285165	-1.0574097841769707	0.0	1.0	1.0	0.0	0.33356304084285165	-1.0574097841769707
6850000	0.334683974769463	0.4029791362062524	-1.0809392331323286	0.0	1.0	1.0	0.0	0.4029791362062524	-1.0809392331323286
6900000	4.526109320822032	0.37101471516905443	-0.9589570635467503	0.0	1.0	1.0	0.0	0.37101471516905443	-0.9589570635467503
6950000	-3.767362097444552	0.4109729884308615	-1.1328645552236032	0.0	1.0	1.0	-0.0	0.4109729884308615	-1.1328645552236032
7000000	0.26777820924554446	-1.372750240578557	-1.2651577336234852	0.0	0.0	1.0	0.0	-0.0	-1.2651577336234852
7050000	4.482877407027825	0.4367401786697174	-1.0885121835175533	0.0	1.0	1.0	0.0	0.4367401786697174	-1.0885121835175533
7100000	-2.9553555306846766	0.4753369785519194	-1.0892212470006482	0.0	1.0	1.0	-0.0	0.4753369785519194	-1.0892212470006482
7150000	1.925175091031991	0.18226924916168744	-1.1577886309852459	0.0	1.0	1.0	0.0	0.18226924916168744	-1.1577886309852459
7200000	0.08863481271508312	0.5360130566184026	-1.005254603834824	0.0	1.0	1.0	0.0	0.5360130566184026	-1.005254603834824
7250000	-1.7679867011828532	0.3992086037459212	-1.1574107214156202	0.0	1.0	1.0	-0.0	0.3992086037459212	-1.1574107214156202
7300000	-3.191761776411537	0.3490509080253735	-1.039399782886609	0.0	1.0	1.0	-0.0	0.3490509080253735	-1.039399782886609
7350000	0.9944056194738036	0.20880925057636035	-1.214599909276236	0.0	1.0	1.0	0.0	0.20880925057636035	-1.214599909276236
7400000	1.1593790163401598	0.31290014468586297	-0.9356050507899702	0.0	1.0	1.0	0.0	0.31290014468586297	-0.9356050507899702
7450000	-0.012233945843012073	0.4495140620313255	-1.0904028078835901	1.0	1.0	1.0	-0.012233945843012073	0.4495140620313255	-1.0904028078835901
7500000	-0.8706875714978985	0.46951050392385896	-1.1217406908586043	0.0	1.0	1.0	-0.0	0.46951050392385896	-1.1217406908586043
7550000	-1.0992653593736965	0.40602105686040013	-1.1442043031773184	0.0	1.0	1.0	-0.0	0.40602105686040013	-1.1442043031773184
7600000	-1.5356836110928653	0.48710978834081253	-1.1250630121575764	0.0	1.0	1.0	-0.0	0.48710978834081253	-1.1250630121575764
7650000	0.3934496256555015	0.3575988526729197	-0.9812666322829111	0.0	1.0	1.0	0.0	0.3575988526729197	-0.9812666322829111
7700000	4.726687869265436	0.32907809168957397	-1.0929026436010552	0.0	1.0	1.0	0.0	0.32907809168957397	-1.0929026436010552
7750000	0.15422204344846707	0.38916185421257754	-0.9798867465646662	1.0	1.0	1.0	0.15422204344846707	0.38916185421257754	-0.9798867465646662
7800000	0.10291192416478052	0.3907751457114622	-1.087492135536022	0.0	1.0	1.0	0.0	0.3907751457114622	-1.087492135536022
7850000	-1.2906588068608904	0.38358452144606237	-1.0617031936629748	0.0	1.0	1.0	-0.0	0.38358452144606237	-1.0617031936629748
7900000	0.40565918291641034	0.4528402798954455	-1.079175002310149	0.0	1.0	1.0	0.0	0.4528402798954455	-1.079175002310149
7950000	1.8113332892835772	0.1962180039765503	-1.046359744624564	0.0	1.0	1.0	0.0	0.1962180039765503	-1.046359744624564
