taxa	country	location	latitude	longitude	collection_date
EBOV|EM_FORE_2015_1047||GIN|Forecariah|2015-06-30	GIN	Forecariah	9.499183204	-13.05634234	30/06/2015
EBOV|EM_FORE_2015_1076||GIN|Forecariah|2015-07-01	GIN	Forecariah	9.417513664	-13.08841522	01/07/2015
EBOV|EM_FORE_2015_1079||GIN|Forecariah|2015-07-01	GIN	Forecariah	9.433831535	-13.08983286	01/07/2015
EBOV|EM_FORE_2015_1118||GIN|Forecariah|2015-07-02	GIN	Forecariah	9.394371333	-13.12818855	02/07/2015
EBOV|EM_FORE_2015_1140||GIN|Forecariah|2015-07-03	GIN	Forecariah	9.356907513	-13.14436686	03/07/2015
EBOV|EM_FORE_2015_1313||GIN|Forecariah|2015-07-10	GIN	Forecariah	9.414246264	-13.07613853	10/07/2015
EBOV|EM_FORE_2015_1415||GIN|Forecariah|2015-07-20	GIN	Forecariah	9.473266413	-13.02764617	20/07/2015
EBOV|EM_FORE_2015_1437||GIN|Forecariah|2015-07-15	GIN	Forecariah	9.405371933	-13.10418066	15/07/2015
EBOV|EM_FORE_2015_2781||GIN|Forecariah|2015-10-13	GIN	Forecariah	9.375619521	-13.15726722	13/10/2015
EBOV|EM_FORE_2015_2878||GIN|Forecariah|2015-10-24	GIN	Forecariah	9.392156853	-13.07018724	24/10/2015
EBOV|EM_FORE_2015_695||GIN|Forecariah|2015-06-07	GIN	Forecariah	9.499918991	-13.0920365	07/06/2015
EBOV|EM_FORE_2015_696||GIN|Forecariah|2015-06-07	GIN	Forecariah	9.431789519	-13.02775871	07/06/2015
EBOV|EM_FORE_2015_697||GIN|Forecariah|2015-06-07	GIN	Forecariah	9.401458531	-13.01790878	07/06/2015
EBOV|EM_FORE_2015_781||GIN|Forecariah|2015-06-13	GIN	Forecariah	9.399654558	-13.13278588	13/06/2015
EBOV|EM_FORE_2015_816||GIN|Forecariah|2015-06-15	GIN	Forecariah	9.45805072	-13.08204017	15/06/2015
EBOV|EM_FORE_2015_875||GIN|Forecariah|2015-06-17	GIN	Forecariah	9.377421494	-13.06197229	17/06/2015
EBOV|EM_FORE_2015_896||GIN|Forecariah|2015-06-20	GIN	Forecariah	9.497752991	-13.14708149	20/06/2015
