# BEAST v1.8.3
# Generated Wed Jul 26 13:02:49 BST 2017 [seed=1501070568031]
# -beagle IVA_PB1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(human)	tmrca(swine)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	human.rate	swine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
44000	-29730.13986034379	-681.8288732865193	-29048.31098705727	121.2707216146522	92.54012137860681	81.09612817867941	100.42608595916396	13.708658894497058	0.3210651579100172	0.19624396973295113	0.21564206753555068	0.2670488048214808	0.001807426141382419	0.0013833844778387426	0.002171272278371935	0.0017913590948257243	0.14319091921161958	0.9861092404599335	-29048.31098705727	0.0	-675.3364547347629
45000	-29727.275995486514	-681.4644169922043	-29045.81157849431	122.4027710107227	92.65060246071177	81.34632267182819	96.0062303977853	14.429547997871303	0.32169989465146687	0.19126529581072127	0.21596735524590846	0.27106745429190326	0.0017916351165040989	0.0014363661320189907	0.002150703111600062	0.0017824521193435274	0.12921588683890362	0.9860592092716343	-29045.81157849431	0.0	-674.9002487478538
46000	-29751.455176361273	-683.4974428105463	-29067.957733550727	125.73149028273694	92.65060246071177	82.12499591502537	92.242770120369	14.014460690252312	0.31595290703541656	0.20281958541562586	0.2204515386725818	0.2607759688763756	0.0017916351165040989	0.0014480930037403788	0.002036623336774306	0.0017752891230632586	0.1093449567334428	0.9861013331892627	-29067.957733550727	0.0	-677.0480996417842
47000	-29734.784461481726	-687.9805888647259	-29046.803872617	127.2184629937136	92.65060246071177	81.05212899829799	99.02316567738461	16.783356932289642	0.3193279322957702	0.20551605419204588	0.20749083572149662	0.2676651777906871	0.0016978348949383054	0.0013409052414191428	0.002231328066951085	0.0017010096417033192	0.1672070220880848	0.9857275502820947	-29046.803872617	0.0	-681.1910436228518
48000	-29721.360063813747	-688.6703934105419	-29032.689670403204	120.45512708213788	93.66430853155468	81.05212899829799	111.94728974436745	14.850358533486082	0.31690597015427846	0.2121714014646159	0.2126434981244241	0.2582791302566813	0.0017500710079454565	0.001322962880039615	0.0020099890027454716	0.0017240623331113987	0.13355036659581546	0.986046461426169	-29032.689670403204	0.0	-682.0655212280908
49000	-29733.525109709975	-689.1397916903791	-29044.385318019595	125.75241227218139	95.01824571512965	81.05212899829799	86.8021263031506	14.789751343084259	0.31339848540190846	0.20691331797755383	0.21387637641586912	0.26581182020466837	0.0016986797961418571	0.0012234432250494889	0.0022176723589110918	0.0016859097595196672	0.18909991446216276	0.9860163563098707	-29044.385318019595	0.0	-682.8248973154791
50000	-29715.114295951334	-690.3184615796004	-29024.795834371733	127.96751501405231	95.01824571512965	81.32004048522812	87.58063601066398	14.723906144233919	0.31677470823399606	0.19864353326377152	0.2150146612294889	0.2695670972727433	0.0016953889711459498	0.0012442718931208227	0.002087410556089305	0.0016744824429159634	0.163486368228528	0.9861073292146506	-29024.795834371733	0.0	-684.0366741825243
51000	-29720.364362182325	-691.6235862318536	-29028.74077595047	125.01501830195885	95.87462572661552	80.6794710618905	92.28290353391293	14.167019217413253	0.3235550635672081	0.20187907214534523	0.21434133865261742	0.260224525634829	0.0017227664397413186	0.0011830644846736297	0.0020743224359568635	0.0016885574600268123	0.1759096282316611	0.986074882810166	-29028.74077595047	0.0	-685.381791765302
52000	-29725.796964215027	-692.8513120820594	-29032.945652132967	123.79182910293764	94.29266018279736	82.0073505503505	88.47107500054364	13.735335299588352	0.32671279217826293	0.2025133682371201	0.21370704256084255	0.25706679702377416	0.0017011018869423592	0.001208479220023566	0.0019967640946352634	0.0016668264601777697	0.1587019048169774	0.9860398481163539	-29032.945652132967	0.0	-686.7689446560398
53000	-29725.324382601655	-696.5360925829572	-29028.7882900187	124.71096204501819	94.07575059894147	82.13661573451517	94.22816037978455	15.35075598325631	0.31972082960347686	0.20015913722810974	0.21602880191717272	0.2640912312512405	0.001647689420683722	0.0011932656669985215	0.002111868477737047	0.0016301849027311553	0.18096900454170142	0.9860540642127746	-29028.7882900187	0.0	-690.1826821850843
54000	-29726.419968721133	-698.5904897921226	-29027.829478929012	128.97536461307752	92.72044628527715	82.05996092222713	88.31756544234457	15.202151858725626	0.31607912976549746	0.20822415320851834	0.21602880191717272	0.2596679151088112	0.0016212554481017318	0.0012909085745325362	0.001993541201837103	0.0016125331745275617	0.13963713397684457	0.9859955111866077	-29027.829478929012	0.0	-692.3241445860098
55000	-29736.349677995797	-700.1651930335024	-29036.184484962294	125.88379229605634	93.50326725639643	82.21262908479974	94.3931585365741	15.16218870170379	0.325986428216166	0.21152287290432725	0.21212559224941618	0.25036510663009026	0.0016250473409108277	0.0013341841302514483	0.0019940970009315537	0.001620038030079827	0.1302299687064716	0.9858998110906338	-29036.184484962294	0.0	-693.7939468649579
56000	-29732.900700236885	-701.2813228970356	-29031.619377339848	126.44594182459501	93.72193776698094	82.59127315890179	89.46217403570796	15.16218870170379	0.3283280124754838	0.204893204213301	0.2113508945191345	0.25542788879208045	0.0016292342370418738	0.001306434410765887	0.0020207213265552664	0.0016226705220635032	0.14079174288601567	0.9859393609051326	-29031.619377339848	0.0	-694.9531207365737
57000	-29725.934660512867	-702.2046405698584	-29023.730019943006	126.455525770585	94.42774664789583	83.26603864494719	101.03102711901178	13.944479028557613	0.31839158835277215	0.20348665750972908	0.21163141681597586	0.2664903373215228	0.001621503399664496	0.001164900464377595	0.001939598670645221	0.0015956857662640378	0.1607204750927558	0.9860958298945692	-29023.730019943006	0.0	-696.0749953579274
