state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	doublingTime	R0	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
12500000	-54448.7752091957	-2493.272116353719	-51955.50309284198	0.3068297401237213	2020.6904380194392	61.31143940426805	981.8381696190424	35.525781465865	7.1215525870268115	1.7405576568123269	7.088685902384449	0.2978856486971508	0.17565937365839207	0.19327045117662275	0.3331845264678324	0.02944976645657174	5.642966187612132E-4	5.642966187612141E-4	-51955.50309284198	0.0	-2477.0624989394646
13000000	-54582.51083248581	-2595.1747320630557	-51987.336100422755	0.3209476915022294	2020.6763200680607	64.52246026921782	958.3587905623282	34.10106532144308	7.419085548195234	1.7063785711631725	7.256318503534687	0.2911089155112946	0.1797248833229835	0.19408584834606776	0.33508035281965237	0.013848417586770913	5.296157216049187E-4	5.296157216049194E-4	-51987.336100422755	0.0	-2579.0780021818077
13500000	-54499.21272947186	-2540.407131328336	-51958.805598143525	0.31528147406898266	2020.6819862854938	61.13540823001646	628.6746195854504	31.92707589703138	7.924268471072359	1.654960452830945	7.707526810421438	0.29151773743201376	0.1778827339427192	0.19453957841947656	0.33605995020578866	0.014137010123276266	5.652185663376891E-4	5.652185663376887E-4	-51958.805598143525	0.0	-2524.923163634048
14000000	-54513.84182785532	-2508.1981779559933	-52005.64364989933	0.3067318689443111	2020.6905358906185	60.124923039029355	763.5991914083401	34.310993471116674	7.373692665511326	1.7113907400718542	7.115777830455283	0.29606888321413416	0.17859983718952396	0.1901196646451551	0.3352116149511847	0.03366711374080148	5.786415679097324E-4	5.786415679097323E-4	-52005.64364989933	0.0	-2492.4329700141975
14500000	-54576.542940142346	-2573.6788161570953	-52002.86412398525	0.3137913752709428	2020.683476384292	64.60431609249986	989.3435549547805	34.35698520953923	7.363821923296542	1.7124899305152197	8.293349980278746	0.29254272177984725	0.17925767606305174	0.1916658980464707	0.3365337041106283	0.014936885271249093	5.505326610877751E-4	5.505326610877743E-4	-52002.86412398525	0.0	-2557.271215933176
15000000	-54457.340558637974	-2518.9147227381586	-51938.42583589981	0.316250583822164	2020.6810171757406	62.127694576405126	1104.7704661149346	36.09849514957637	7.008566973666464	1.754405019722632	7.046300910528674	0.29292788333858205	0.18057544301133896	0.19169741220849418	0.3347992614415826	0.007577466095101708	5.619422249243237E-4	5.61942224924323E-4	-51938.42583589981	0.0	-2502.5203955549146
15500000	-54364.01373682727	-2367.4627638952666	-51996.550972932004	0.2984043838909114	2020.6988633756719	58.95698447613588	1167.4868387695392	37.92305775102137	6.6713692383512	1.7989337355965178	8.814391376029713	0.29365491238185953	0.17865374281516505	0.19315275635074058	0.33453858845223283	0.04413411352600954	5.610217826303003E-4	5.61021782630302E-4	-51996.550972932004	0.0	-2350.4592625876217
16000000	-54346.3763413472	-2359.9874373981993	-51986.388903948995	0.29346783692544265	2020.7037999226375	57.39201358810736	1251.6093739336943	38.76362355817338	6.526704618434331	1.8196600599313109	8.367200749621354	0.29651844803042027	0.18262782090513843	0.1911676411533765	0.32968608991106296	0.02281280764182473	6.288662184591582E-4	6.288662184591589E-4	-51986.388903948995	0.0	-2342.8813956604713
16500000	-54593.16641286609	-2640.3508006583343	-51952.815612207756	0.3535235970095567	2020.6437441625533	64.8134607160219	625.0091157837784	30.90460786147191	8.186440094578517	1.6310841972709715	8.254351935079695	0.29701051088405	0.17712687291571727	0.19054403062119116	0.3353185855790399	0.014161248222147479	5.571834015013384E-4	5.571834015013375E-4	-51952.815612207756	0.0	-2624.805562992874
17000000	-54599.44082073003	-2635.0544476945647	-51964.386373035464	0.31899296923737225	2020.6782747903255	63.41783620996533	408.4297626764229	28.468835592179296	8.886865782943422	1.5749926686952274	8.570382085688827	0.29100612067883114	0.18131251260414236	0.1943518596325068	0.3333295070845181	0.03731252105617923	5.415497850345305E-4	5.415497850345302E-4	-51964.386373035464	0.0	-2620.069247855394
