lab-id,country,admin1
18660_EMLH,SLE,WesternUrban
18647_EMLH,SLE,WesternUrban
18636_EMLH,SLE,?
18642R_EMLH,SLE,WesternUrban
18687R_EMLH,SLE,WesternUrban
18650_EMLH,SLE,WesternUrban
DML14366,SLE,WesternUrban
18706_EMLH,SLE,?
PL8486,SLE,?
DML14163,SLE,WesternUrban
MK10128,SLE,Tonkolili
MK10173,SLE,Tonkolili
15070R_DML,SLE,WesternUrban
MK8878,SLE,Tonkolili
13247_EMLH,SLE,?
DML14077,SLE,WesternUrban
18538_EMLH,SLE,?
13204_EMLH,SLE,WesternUrban
MK9396,SLE,WesternUrban
12872_EMLH,SLE,WesternUrban
12936_EMLH,SLE,WesternUrban
12851_EMLH,SLE,WesternUrban
J0075,SLE,WesternRural
J0094,SLE,WesternRural
75708_EMLH,SLE,?
J0151,SLE,WesternRural
408_EMLH,SLE,?
J0153,SLE,WesternRural
J0172,SLE,WesternRural
J0090,SLE,WesternUrban
PL2668,SLE,PortLoko
KT4622,SLE,?
KT5034,SLE,?
PL4105,SLE,PortLoko
PL5001,SLE,PortLoko
12257_EMLH,SLE,PortLoko
12229_EMLH,SLE,WesternRural
PL4190,SLE,PortLoko
PL2101,SLE,PortLoko
J0129,SLE,WesternUrban
77712_EMLK,SLE,WesternUrban
KT5788,SLE,?
14521_EMLK,SLE,WesternUrban
12666_EMLH,SLE,WesternRural
12578_EMLH,SLE,WesternRural
12767_EMLH,SLE,WesternUrban
12781_EMLH,SLE,WesternUrban
12180_EMLH,SLE,WesternUrban
MK2362,SLE,Bombali
10454_EMLK,SLE,WesternUrban
MK2342,SLE,Bombali
10402_EMLK,SLE,WesternUrban
MK2431,SLE,Bombali
DML12137,SLE,WesternUrban
DML12485,SLE,WesternUrban
MK2427,SLE,Bombali
DML12120,SLE,WesternUrban
KT5225,SLE,?
DML12117,SLE,WesternUrban
DML12033,SLE,WesternUrban
MK2673,SLE,Bombali
KT5233,SLE,WesternRural
12275_EMLH,SLE,WesternUrban
KT5542,SLE,?
DML12116,SLE,WesternUrban
PL4696,SLE,PortLoko
PL4569,SLE,PortLoko
741_EMLH,SLE,WesternUrban
12580_EMLH,SLE,WesternRural
Goderich1,SLE,WesternUrban
MK2717,SLE,Bombali
MK2395,SLE,Bombali
12192_EMLH,SLE,WesternUrban
MK2371,SLE,Bombali
Makona-UK3,SLE,WesternArea
KT5787,SLE,WesternUrban
KT5214,SLE,?
DML12268,SLE,WesternUrban
MK3183,SLE,Bombali
MK2826,SLE,Bombali
MK2570,SLE,Bombali
MK2307,SLE,?
DML12051,SLE,WesternUrban
