taxon	HZ
MAN1095|Mabalako|2018-12-17	Mabalako
MAN1891|Mandima|2019-03-28	Mandima
MAN1906|Mandima|2019-03-29	Mandima
MAN1907|Mandima|2019-03-29	Mandima
MAN1920|Mandima|2019-03-30	Mandima
MAN1923|Mandima|2019-03-30	Mandima
MAN1942|Mandima|2019-04-01	Mandima
MAN2013|Mandima|2019-04-07	Mandima
MAN2015|Mandima|2019-04-07	Mandima
MAN2051|Mabalako|2019-04-10	Mabalako
MAN2052|Mabalako|2019-04-10	Mabalako
MAN2068|Mandima|2019-04-11	Mandima
MAN5297|Manguredjipa|2019-07-05	Manguredjipa
MAN5796|Mabalako|2019-07-16	Mabalako
MAN5909|Beni|2019-07-18	Beni
MAN5923|Mandima|2019-07-18	Mandima
MAN5931|Mandima|2019-07-18	Mandima
MAN5933|Mandima|2019-07-18	Mandima
MAN5934|Mabalako|2019-07-18	Mabalako
MAN5938|Mandima|2019-07-18	Mandima
MAN5971|Mandima|2019-07-19	Mandima
MAN5977|Mabalako|2019-07-19	Mabalako
BTB23817|Kayna|2019-08-20	Kayna
BTB22852|Kalunguta|2019-08-13	Kalunguta
BTB22982|Kalunguta|2019-08-14	Kalunguta
BTB24057|Kayna|2019-08-22	Kayna
BTB24232|Kayna|2019-08-24	Kayna
BTB24518|Kalunguta|2019-08-25	Kalunguta
BTB24630|Kalunguta|2019-08-26	Kalunguta
BTB24909|Kalunguta|2019-08-28	Kalunguta
BTB24923|Kalunguta|2019-08-28	Kalunguta
KAT10686|Kalunguta|2019-08-27	Kalunguta
BEN30680|Mutwanga|2019-08-29	Mutwanga
BEN30947|Mutwanga|2019-08-31	Mutwanga
MAN6906|Mandima|2019-08-06	Mandima
MAN7450|Mandima|2019-08-19	Mandima
MAN7454|Mandima|2019-08-19	Mandima
KAT10952|Kalunguta|2019-08-31	Kalunguta
MAN7600|Mandima|2019-08-23	Mandima
MAN7716|Mandima|2019-08-26	Mandima
MAN7787|Mandima|2019-08-28	Mandima
MAN7856|Mandima|2019-08-30	Mandima
BEN31926|Unknown|2019-09-07	?
BTB26888|Kyondo|2019-09-12	Kyondo
KAT10876|Musienene|2019-08-30	Musienene
MAN7953|Mandima|2019-09-02	Mandima
MAN8039|Mandima|2019-09-04	Mandima
MAN8153|Mandima|2019-09-07	Mandima
BEN28642|Beni|2019-08-14	Beni
BEN28940|Mutwanga|2019-08-15	Mutwanga
BEN29679|Beni|2019-08-21	Beni
BEN29683|Beni|2019-08-21	Beni
BEN30125|Beni|2019-08-24	Beni
BEN30424|Beni|2019-08-27	Beni
BEN30473|Beni|2019-08-27	Beni
BEN30481|Beni|2019-08-27	Beni
BEN30895|Mandima|2019-08-31	Mandima
BEN31553|Mandima|2019-09-05	Mandima
BEN31595|Beni|2019-09-05	Beni
BEN31602|Mabalako|2019-09-05	Mabalako
BEN31891|Beni|2019-09-07	Beni
BEN32312|Beni|2019-09-10	Beni
BEN36637|Mabalako|2019-10-12	Mabalako
BEN36678|Mabalako|2019-10-12	Mabalako
BTB24969|Kalunguta|2019-08-29	Kalunguta
BTB24970|Kalunguta|2019-08-29	Kalunguta
BTB24973|Alimbongo|2019-08-19	Alimbongo
BTB25100|Kalunguta|2019-08-30	Kalunguta
BTB25101|Butembo|2019-08-30	Butembo
BTB25102|Butembo|2019-08-30	Butembo
BTB30896|Kalunguta|2019-10-12	Kalunguta
MAN7880|Mandima|2019-08-31	Mandima
MAM025|Mambasa|2019-09-07	Mambasa
KOM3014|Mambasa|2019-09-01	Mambasa
MWG016|Unknown|2019-08-26	?
MWG017|Unknown|2019-08-27	?
KOM2823|Unknown|2019-08-23	?
KOM2796|Mambasa|2019-08-23	Mambasa
KOM2855|Komanda|2019-08-25	Komanda
KOM2884|Mambasa|2019-08-26	Mambasa
KOM2902|Mambasa|2019-08-27	Mambasa
KOM2933|Mambasa|2019-08-28	Mambasa
KOM2953|Komanda|2019-08-30	Komanda
KOM2973|Mambasa|2019-08-30	Mambasa
KOM3043|Mambasa|2019-09-03	Mambasa
MAM002|Mambasa|2019-09-05	Mambasa
MAN7742|Mandima|2019-08-27	Mandima
MAN7771|Unknown|2019-08-28	?
MAN7843|Mandima|2019-08-30	Mandima
MAN7882|Mandima|2019-08-31	Mandima
MAN7978|Mandima|2019-09-03	Mandima
MAN9501|Mandima|2019-10-10	Mandima
MAN9512|Mandima|2019-10-10	Mandima
MAN8386|Mandima|2019-09-14	Mandima
MAN8434|Mandima|2019-09-15	Mandima
MAN8819|Mandima|2019-09-25	Mandima
MAN9128|Mandima|2019-10-01	Mandima
BEN35617|Unknown|2019-10-04	?
BEN37396|Unknown|2019-10-17	?
BIA055|Mandima|2019-10	Mandima
BIA066|Mandima|2019-10-18	Mandima
BIA073|Mandima|2019-10-19	Mandima
BIA085|Mandima|2019-10-20	Mandima
BIA089|Mandima|2019-10	Mandima
BTB32108|Kalunguta|2019-10-21	Kalunguta
BTB32413|Kalunguta|2019-10-23	Kalunguta
BTB32447|Kalunguta|2019-10-23	Kalunguta
