# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:38 CEST 2017 [seed=1502886874084]
# -beagle_SSE batRABV_6Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6
54450000	-0.446801932360857	0.31420345852732895	-1.4694216622544336	1.676339772392561	-0.7235791010271261	-1.0140180305806998	1.0	1.0	0.0	0.0	0.0	0.0	-0.446801932360857	0.31420345852732895	-0.0	0.0	-0.0	-0.0
54500000	-0.5930895214000912	-2.605148422290542	2.1643822155146264	-0.8101559587045799	-2.1973094967559854	-1.5557947165993808	1.0	0.0	0.0	0.0	0.0	0.0	-0.5930895214000912	-0.0	0.0	-0.0	-0.0	-0.0
54550000	-0.7205064974268465	0.8096934724730207	0.8575977902975178	-2.6938896000947223	-1.279589910815665	-1.6108865608854026	1.0	1.0	0.0	0.0	0.0	0.0	-0.7205064974268465	0.8096934724730207	0.0	-0.0	-0.0	-0.0
54600000	-0.7172865656229255	0.7005411983741535	0.6235995611342997	-1.5304265297133413	1.3462048919433767	-0.0037693737872431243	1.0	1.0	0.0	0.0	0.0	0.0	-0.7172865656229255	0.7005411983741535	0.0	-0.0	0.0	-0.0
54650000	-0.5738830501387641	0.706953222597255	-0.17505970681496244	3.8617801837412182	-3.529106759754279	-0.2960396556932405	1.0	1.0	0.0	0.0	0.0	0.0	-0.5738830501387641	0.706953222597255	-0.0	0.0	-0.0	-0.0
54700000	-0.6003352853503808	0.5180063704111761	-4.182515268111987	0.9515251441096387	-0.9678487842425756	2.1154765003368183	1.0	0.0	0.0	0.0	0.0	0.0	-0.6003352853503808	0.0	-0.0	0.0	-0.0	0.0
54750000	-0.6391635551690257	0.7302083361650862	-0.769919363819161	-2.7155416707210116	-1.5521123078855934	-0.6785348031179126	1.0	1.0	0.0	0.0	0.0	0.0	-0.6391635551690257	0.7302083361650862	-0.0	-0.0	-0.0	-0.0
54800000	-0.6617111891971349	0.5635371912299707	-3.0603970133082194	4.232603531646674	1.9725730939309623	0.16324313918280975	1.0	1.0	0.0	0.0	0.0	1.0	-0.6617111891971349	0.5635371912299707	-0.0	0.0	0.0	0.16324313918280975
54850000	-0.6586055576437285	0.740612065736608	4.662198160707514	0.9839092835892718	-1.2199415928001143	-2.0737415268486754	1.0	1.0	0.0	0.0	0.0	0.0	-0.6586055576437285	0.740612065736608	0.0	0.0	-0.0	-0.0
54900000	-0.4667614017103576	0.1690039177978901	-3.821389870267646	4.650521303882092	4.454170274069495	-1.0033131527439272	1.0	0.0	0.0	0.0	0.0	0.0	-0.4667614017103576	0.0	-0.0	0.0	0.0	-0.0
