# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:49 CEST 2017 [seed=1502886884603]
# -beagle_SSE batRABV_8Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefficients7	host.coefficients8	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefIndicators7	host.coefIndicators8	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6	host.coefficientsTimesIndicators7	host.coefficientsTimesIndicators8
2350000	-0.5982214486204318	1.5868962119030778	2.8980699140360957	-1.6164466426548163	-0.7493844187155106	0.375678722209228	0.7884359885354073	0.33167714731305015	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5982214486204318	0.0	0.0	-0.0	-0.0	0.0	0.7884359885354073	0.33167714731305015
2400000	-0.6523450109979381	-0.3631496282684838	-1.2499947835126084	1.154758850775914	-4.14192182629534	-0.7663005147527817	0.4595512754949114	0.420783069341026	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6523450109979381	-0.0	-0.0	0.0	-0.0	-0.0	0.4595512754949114	0.420783069341026
2450000	-0.7101870999127405	0.6976511207861719	0.5174227693966678	-6.295133128096842	0.03547236026818758	2.747960501127001	0.4743457803234675	-3.7560489631658545	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7101870999127405	0.6976511207861719	0.0	-0.0	0.0	0.0	0.4743457803234675	-0.0
2500000	-0.6829664764469154	1.0109516368068463	-1.610632118739043	-1.830216293603832	-0.8049911086945963	2.120056837208413	0.3929221339591743	-0.48575306148963976	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6829664764469154	1.0109516368068463	-0.0	-0.0	-0.0	0.0	0.3929221339591743	-0.0
2550000	-0.7752280677227861	0.6157949796552333	1.8126279938012226	2.3588816971774547	4.3295326732935555	-2.581680922221262	0.5375195736893549	1.3352530647330312	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7752280677227861	0.6157949796552333	0.0	0.0	0.0	-0.0	0.5375195736893549	0.0
2600000	-0.7125778792110496	0.6173726411876668	-2.4357283361298894	-2.4642676618248887	4.040376860734667	1.1688954708871249	0.6620278481035575	0.311027433227109	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.7125778792110496	0.6173726411876668	-0.0	-0.0	0.0	0.0	0.6620278481035575	0.311027433227109
2650000	-0.7580358157708013	0.7359847971111361	-2.1283887379080424	5.275067496636076	1.7351061490933994	-1.1505009892513605	0.5699502463816949	-1.5122966007814889	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7580358157708013	0.7359847971111361	-0.0	0.0	0.0	-0.0	0.5699502463816949	-0.0
2700000	-0.6857337969309565	3.2625144977157237	0.7075971681764777	0.8736516207106739	-1.0991683092802886	-3.5522674844042728	2.1634042005128986	-0.7243186389058579	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6857337969309565	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0
2750000	-0.5855526559827824	-1.0915562426464354	-3.323023711927845	0.21690590464016798	0.875495942936163	2.3970993987731046	0.5409052763662335	1.6445466480105835	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.5855526559827824	-0.0	-0.0	0.0	0.0	0.0	0.5409052763662335	0.0
2800000	-0.5566411315751428	1.8251418391338292	-2.837530003856071	-0.9861021011978107	-0.031108153681460696	1.446101093354924	0.43786281178059916	0.45543079378031265	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5566411315751428	0.0	-0.0	-0.0	-0.0	0.0	0.43786281178059916	0.45543079378031265
2850000	-0.7550976191763996	0.9846654435575676	-0.3887706928684021	-1.9162444156813727	-2.4995580820189276	-1.3195564244453835	0.4363616937569445	-0.18301647675642485	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7550976191763996	0.9846654435575676	-0.0	-0.0	-0.0	-0.0	0.4363616937569445	-0.0
2900000	-0.8137486419788469	1.2936312033071364	0.9724307344014996	1.3788869099100844	1.8615408997297422	-1.0691572137834198	0.7828824650646047	2.2642264524085554	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.8137486419788469	1.2936312033071364	0.0	0.0	0.0	-0.0	0.7828824650646047	0.0
2950000	-0.9173867664892417	1.3131583150915807	-1.903781229036983	0.28067955423604374	-3.783593830529402	-0.9095387490187514	0.609241490566726	2.535740996850762	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.9173867664892417	1.3131583150915807	-0.0	0.0	-0.0	-0.0	0.609241490566726	0.0
3000000	-0.6727506723198892	0.7614636168925897	-1.3982066450501835	-0.005467201580851719	-1.2774265529684392	0.11611983182471253	0.634509929524948	0.3448167483217941	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.6727506723198892	0.7614636168925897	-0.0	-0.005467201580851719	-0.0	0.0	0.634509929524948	0.3448167483217941
3050000	-0.7151081520212303	1.3890314203587104	-0.42265445390621936	2.0131368752099066	-0.8795248579998395	1.3700461707508174	0.608437332708722	0.6531789321719954	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.7151081520212303	0.0	-0.0	0.0	-0.0	0.0	0.608437332708722	0.6531789321719954
3100000	-0.75615977821105	0.904887043747837	-2.7593468590550314	3.8893509138992313	5.5102694259617	0.3582086638310351	0.60699749882856	1.5034737640172313	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.75615977821105	0.904887043747837	-0.0	0.0	0.0	0.0	0.60699749882856	0.0
3150000	-0.5702511422202944	1.3422709303191311	-2.891741014502575	0.5724782287192235	-0.4822378808867196	-0.8190562885114429	0.6160022041097911	0.29749575909556497	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5702511422202944	0.0	-0.0	0.0	-0.0	-0.0	0.6160022041097911	0.29749575909556497
3200000	-0.7295057738653931	-0.31547535365057144	2.274447813413386	2.5143444796219208	-2.255729851346554	-2.1549743967312356	0.6960795175938873	1.1759411312182282	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7295057738653931	-0.0	0.0	0.0	-0.0	-0.0	0.6960795175938873	0.0
